t,q,p
9.900000000000000355e+00,-1.846906675970775291e-01,5.653657618895893688e-02
1.000000000000000000e+01,-1.781941963804345719e-01,7.323600265133903275e-02
1.010000000000000142e+01,-1.700766085044750076e-01,8.894130654291045046e-02
1.020000000000000107e+01,-1.604425355342079806e-01,1.035487275917454930e-01
1.030000000000000071e+01,-1.494067906719068750e-01,1.169584687123122746e-01
1.040000000000000036e+01,-1.370939451756584826e-01,1.290752881035635569e-01
1.050000000000000000e+01,-1.236378315922196519e-01,1.398093689719303034e-01
1.060000000000000142e+01,-1.091809466530675454e-01,1.490774555187660000e-01
1.070000000000000107e+01,-9.387372806096005995e-02,1.568042318286324288e-01
1.080000000000000071e+01,-7.787368282337224501e-02,1.629239071618833468e-01
1.090000000000000036e+01,-6.134434866359749633e-02,1.673819581755760233e-01
1.100000000000000000e+01,-4.445407593892706372e-02,1.701369656910382000e-01
1.110000000000000142e+01,-2.737462420843032873e-02,1.711624718348101759e-01
1.120000000000000107e+01,-1.027957552451862558e-02,1.704487735418890038e-01
1.130000000000000071e+01,6.657424674038506761e-03,1.680045613074583333e-01
1.140000000000000036e+01,2.326457885728780775e-02,1.638583087045747122e-01
1.150000000000000000e+01,3.937397129151208597e-02,1.580593193205004077e-01
1.160000000000000142e+01,5.482368582524129591e-02,1.506783439759497578e-01
1.170000000000000107e+01,6.945996069097386261e-02,1.418076927511875973e-01
1.180000000000000071e+01,8.313932673869177392e-02,1.315607833503176505e-01
1.190000000000000036e+01,9.573067068999896456e-02,1.200710892433065752e-01
1.200000000000000000e+01,1.071171626416700107e-01,1.074904769074123551e-01
1.210000000000000142e+01,1.171979873715623122e-01,9.398695003605625486e-02
1.220000000000000107e+01,1.258898222509358678e-01,7.974184818139852526e-02
1.230000000000000071e+01,1.331280108162122555e-01,6.494657577694866457e-02
1.240000000000000036e+01,1.388673898994154943e-01,4.979896337269130308e-02
1.250000000000000000e+01,1.430827395366859878e-01,3.449938391876004873e-02
1.260000000000000142e+01,1.457688379441000048e-01,1.924676147928035611e-02
1.270000000000000107e+01,1.469401180048619804e-01,4.234617079141815912e-03
1.280000000000000071e+01,1.466299362125220440e-01,-1.035270460269727133e-02
1.290000000000000036e+01,1.448894789963406371e-01,-2.434349297051785835e-02
1.300000000000000000e+01,1.417863440638470196e-01,-3.758169538268158610e-02
1.310000000000000142e+01,1.374028451557174346e-01,-4.992941152546000877e-02
1.320000000000000107e+01,1.318340967788142193e-01,-6.126878994514470267e-02
1.330000000000000071e+01,1.251859409495638120e-01,-7.150328817818830951e-02
1.340000000000000036e+01,1.175727801710542558e-01,-8.055828846349054329e-02
1.350000000000000000e+01,1.091153803191987903e-01,-8.838108994675958341e-02
1.360000000000000142e+01,9.993870363382349742e-02,-9.494032424421959548e-02
1.370000000000000107e+01,9.016982618629768020e-02,-1.002248624680584094e-01
1.380000000000000071e+01,7.993598668039646193e-02,-1.042422978391241706e-01
1.390000000000000036e+01,6.936280425502421021e-02,-1.070170978644616328e-01
1.400000000000000000e+01,5.857269354219039187e-02,-1.085885243294259922e-01
1.410000000000000142e+01,4.768349527336193661e-02,-1.090084180525469904e-01
1.420000000000000107e+01,3.680733132822094217e-02,-1.083389393900843628e-01
1.430000000000000071e+01,2.604968451475299721e-02,-1.066503459249721619e-01
1.440000000000000036e+01,1.550869578737353038e-02,-1.040188765675956473e-01
1.450000000000000000e+01,5.274665356782506746e-03,-1.005247974911360892e-01
1.460000000000000142e+01,-4.570260659901560080e-03,-9.625065110177452588e-02
1.470000000000000107e+01,-1.395223982713266614e-02,-9.127973527318333780e-02
1.480000000000000071e+01,-2.280574305815813788e-02,-8.569482714026276093e-02
1.490000000000000036e+01,-3.107344905783199912e-02,-7.957715427107894812e-02
1.500000000000000000e+01,-3.870604799374347676e-02,-7.300560636565059380e-02
1.510000000000000142e+01,-4.566197778836073723e-02,-6.605617290213340598e-02
1.520000000000000107e+01,-5.190711463226478639e-02,-5.880158613556671354e-02
1.530000000000000071e+01,-5.741443705578021250e-02,-5.131114488472379026e-02
1.540000000000000036e+01,-6.216368028518961392e-02,-4.365069173590283014e-02
1.550000000000000000e+01,-6.614099480502121098e-02,-3.588271519290981565e-02
1.560000000000000142e+01,-6.933862018041163366e-02,-2.806654787221794095e-02
1.570000000000000107e+01,-7.175458231634593287e-02,-2.025863249246174017e-02
1.580000000000000071e+01,-7.339241956990426308e-02,-1.251282848917536182e-02
1.590000000000000036e+01,-7.426094047965019207e-02,-4.880733611745687039e-03
1.600000000000000000e+01,-7.437401340260735294e-02,2.588003319415248769e-03
1.610000000000000142e+01,-7.375038606563748267e-02,9.845400319680579562e-03
1.619999999999999929e+01,-7.241353096812723489e-02,1.684491045742098764e-02
1.630000000000000071e+01,-7.039151071228498535e-02,2.354125770658146294e-02
1.640000000000000213e+01,-6.771685574038689703e-02,2.989035520671817422e-02
1.650000000000000000e+01,-6.442644561317199814e-02,3.584931790394732531e-02
1.660000000000000142e+01,-6.056138393089413596e-02,4.137657840592475628e-02
1.669999999999999929e+01,-5.616685625329909115e-02,4.643211138178732905e-02
1.680000000000000071e+01,-5.129196010004020978e-02,5.097776783778007470e-02
1.690000000000000213e+01,-4.598949611799033749e-02,5.497771622918276591e-02
1.700000000000000000e+01,-4.031571011809511468e-02,5.839898254293906382e-02
1.710000000000000142e+01,-3.432997666296885159e-02,6.121207633943927945e-02
1.719999999999999929e+01,-2.809441649676602468e-02,6.339168450250909359e-02
1.730000000000000071e+01,-2.167344217958767916e-02,6.491740916993428423e-02
1.740000000000000213e+01,-1.513322886556258025e-02,6.577452152892065973e-02
1.750000000000000000e+01,-8.541110263447958956e-03,6.595469893542330042e-02
1.760000000000000142e+01,-1.964903189085011586e-03,6.545670973333050924e-02
1.769999999999999929e+01,4.527832197841567645e-03,6.428700844383426760e-02
1.780000000000000071e+01,1.087058563593605066e-02,6.246020403160080364e-02
1.790000000000000213e+01,1.699872899603465173e-02,5.999936600528778252e-02
1.800000000000000000e+01,2.285036970665932018e-02,5.693613727998819013e-02
1.810000000000000142e+01,2.836720473740767662e-02,5.331062906156832509e-02
1.819999999999999929e+01,3.349535244916339999e-02,4.917108131557886008e-02
1.830000000000000071e+01,3.818613845133737861e-02,4.457328234066564726e-02
1.840000000000000213e+01,4.239681151949484250e-02,3.957975204046619566e-02
1.850000000000000000e+01,4.609116665458128093e-02,3.425870507849734792e-02
