t,commutator_norm
7.900000000000000355e+00,2.032881483679721112e-03
8.000000000000000000e+00,4.129878887378278518e-03
8.099999999999999645e+00,6.185611906390461531e-03
8.200000000000001066e+00,8.179540335925605810e-03
8.300000000000000711e+00,1.009174150222070035e-02
8.400000000000000355e+00,1.190310932331170059e-02
8.500000000000000000e+00,1.359554521068907264e-02
8.599999999999999645e+00,1.515213890441088895e-02
8.700000000000001066e+00,1.655733743483131862e-02
8.800000000000000711e+00,1.779710052273065710e-02
8.900000000000000355e+00,1.885904086514638908e-02
9.000000000000000000e+00,1.973254790520753699e-02
9.099999999999999645e+00,2.040889384931301315e-02
9.200000000000001066e+00,2.088132087235964121e-02
9.300000000000000711e+00,2.114510863969631949e-02
9.400000000000000355e+00,2.119762147114911607e-02
9.500000000000000000e+00,2.103833467586398859e-02
9.600000000000001421e+00,2.066883979484668288e-02
9.700000000000001066e+00,2.009282869880910788e-02
9.800000000000000711e+00,1.931605670021935631e-02
9.900000000000000355e+00,1.834628504812035182e-02
1.000000000000000000e+01,1.719320338029608000e-02
1.010000000000000142e+01,1.586833290761334100e-02
1.020000000000000107e+01,1.438491129789114947e-02
1.030000000000000071e+01,1.275776040949998941e-02
1.040000000000000036e+01,1.100313819625184028e-02
1.050000000000000000e+01,9.138576263300913008e-03
1.060000000000000142e+01,7.182704697138588869e-03
1.070000000000000107e+01,5.155065919928975351e-03
1.080000000000000071e+01,3.075919428085779374e-03
1.090000000000000036e+01,9.660393660808539156e-04
1.100000000000000000e+01,1.153493041939874760e-03
1.110000000000000142e+01,3.261500128779524013e-03
1.120000000000000107e+01,5.336919384441091672e-03
1.130000000000000071e+01,7.359013905764216421e-03
1.140000000000000036e+01,9.307579592707625887e-03
1.150000000000000000e+01,1.116314702103738538e-02
1.160000000000000142e+01,1.290717597437887609e-02
1.170000000000000107e+01,1.452224069192931642e-02
1.180000000000000071e+01,1.599220398090067316e-02
1.190000000000000036e+01,1.730237845401466634e-02
1.200000000000000000e+01,1.843967328102188649e-02
1.210000000000000142e+01,1.939272498795093641e-02
1.220000000000000107e+01,2.015201099718293837e-02
1.230000000000000071e+01,2.070994477390020877e-02
1.240000000000000036e+01,2.106095162823421255e-02
1.250000000000000000e+01,2.120152441572401014e-02
1.260000000000000142e+01,2.113025857954403675e-02
1.270000000000000107e+01,2.084786618437215952e-02
1.280000000000000071e+01,2.035716880167427051e-02
1.290000000000000036e+01,1.966306931749551429e-02
1.300000000000000000e+01,1.877250294444265943e-02
1.310000000000000142e+01,1.769436792733368458e-02
1.320000000000000107e+01,1.643943663487498763e-02
1.330000000000000071e+01,1.502024792571603727e-02
1.340000000000000036e+01,1.345098186431699545e-02
1.350000000000000000e+01,1.174731803843325449e-02
1.360000000000000142e+01,9.926278893856575747e-03
1.370000000000000107e+01,8.006059651763904397e-03
1.380000000000000071e+01,6.005846508082513142e-03
1.390000000000000036e+01,3.945624931361131453e-03
1.400000000000000000e+01,1.845979974575787021e-03
1.410000000000000142e+01,2.721094039156560012e-04
1.420000000000000107e+01,2.387479955190686606e-03
1.430000000000000071e+01,4.478995595949149776e-03
1.440000000000000036e+01,6.525758593272240789e-03
1.450000000000000000e+01,8.507318367860242092e-03
1.460000000000000142e+01,1.040387582946217075e-02
1.470000000000000107e+01,1.219648120284011830e-02
1.480000000000000071e+01,1.386722336766017284e-02
1.490000000000000036e+01,1.539940882048498015e-02
1.500000000000000000e+01,1.677772847074339435e-02
1.510000000000000142e+01,1.798841060410173373e-02
1.520000000000000107e+01,1.901935848488192984e-02
1.530000000000000071e+01,1.986027122264521702e-02
1.540000000000000036e+01,2.050274669528457869e-02
1.550000000000000000e+01,2.094036550025184587e-02
1.560000000000000142e+01,2.116875509510500464e-02
1.570000000000000107e+01,2.118563348650795430e-02
1.580000000000000071e+01,2.099083203115314697e-02
1.590000000000000036e+01,2.058629712078952068e-02
1.600000000000000000e+01,1.997607073452047077e-02
1.610000000000000142e+01,1.916625005268279142e-02
1.619999999999999929e+01,1.816492653583862138e-02
1.630000000000000071e+01,1.698210507757480850e-02
1.640000000000000213e+01,1.562960403891340555e-02
1.650000000000000000e+01,1.412093716315536256e-02
1.660000000000000142e+01,1.247117855102436272e-02
1.669999999999999929e+01,1.069681204523506915e-02
1.680000000000000071e+01,8.815566529385705785e-03
1.690000000000000213e+01,6.846238786813525941e-03
1.700000000000000000e+01,4.808505689349284497e-03
1.710000000000000142e+01,2.722727592517632921e-03
1.719999999999999929e+01,6.097449015956755676e-04
1.730000000000000071e+01,1.509330158828107700e-03
1.740000000000000213e+01,3.613324491223285362e-03
1.750000000000000000e+01,5.681215679708292998e-03
1.760000000000000142e+01,7.692342039081838910e-03
1.769999999999999929e+01,9.626609059551148248e-03
1.780000000000000071e+01,1.146469018443130317e-02
1.790000000000000213e+01,1.318821991471142568e-02
1.800000000000000000e+01,1.477997731104949315e-02
1.810000000000000142e+01,1.622405805970658990e-02
1.819999999999999929e+01,1.750603338319160415e-02
1.830000000000000071e+01,1.861309420783711574e-02
1.840000000000000213e+01,1.953417914782890411e-02
1.850000000000000000e+01,2.026008502691655638e-02
1.860000000000000142e+01,2.078355883350910954e-02
1.869999999999999929e+01,2.109937019036835573e-02
1.880000000000000071e+01,2.120436361480980067e-02
1.890000000000000213e+01,2.109749004724294219e-02
1.900000000000000000e+01,2.077981733302697656e-02
1.910000000000000142e+01,2.025451955291370648e-02
1.920000000000000284e+01,1.952684530868190049e-02
1.930000000000000071e+01,1.860406528084248765e-02
1.940000000000000213e+01,1.749539958240330789e-02
1.950000000000000000e+01,1.621192563454699684e-02
1.960000000000000142e+01,1.476646748470031821e-02
1.970000000000000284e+01,1.317346767289176608e-02
1.980000000000000071e+01,1.144884292666514466e-02
1.990000000000000213e+01,9.609825126399511308e-03
2.000000000000000000e+01,7.674789130056897113e-03
2.010000000000000142e+01,5.663069177674668990e-03
2.020000000000000284e+01,3.594765710030806052e-03
2.030000000000000071e+01,1.490544531683980376e-03
