# re,im
-2.499999999999996114e-01,1.784511026504869147e+00
-2.499999999999996114e-01,-1.784511026504869147e+00
-2.499999999999997502e-01,3.681878110355661371e-01
-2.499999999999997502e-01,-3.681878110355661371e-01
-2.499999999999999722e-01,1.221662036770960302e+00
-2.499999999999999722e-01,-1.221662036770960302e+00
