t,q,p,E
8.700000000000001066e+00,-4.581289589906362703e-01,-4.349080466334292461e-01,1.995135760461745900e-01
8.800000000000000711e+00,-4.990498176454252199e-01,-3.829136855762754754e-01,1.978368055467694675e-01
8.900000000000000355e+00,-5.346020149309037572e-01,-3.276297962226255578e-01,1.965702988705306797e-01
9.000000000000000000e+00,-5.644855143518308083e-01,-2.696387355436274391e-01,1.956744718093086088e-01
9.099999999999999645e+00,-5.884596223087448230e-01,-2.095439803535865952e-01,1.950967033950874452e-01
9.200000000000001066e+00,-6.063447905900122281e-01,-1.479639174440777749e-01,1.947736629705218159e-01
9.300000000000000711e+00,-6.180237930109715450e-01,-8.552554729423914037e-02,1.946340139838236560e-01
9.400000000000000355e+00,-6.234422707455755663e-01,-2.285816482317811274e-02,1.946013803257415631e-01
9.500000000000000000e+00,-6.226086472145230255e-01,3.941291984587622088e-02,1.945974529185379165e-01
9.600000000000001421e+00,-6.155934196468788588e-01,1.006725584611806862e-01,1.945451111698290603e-01
9.700000000000001066e+00,-6.025278405638866408e-01,1.603217792671450814e-01,1.943714357809818161e-01
9.800000000000000711e+00,-5.836020083500175204e-01,2.177835809651852972e-01,1.940104961440966558e-01
9.900000000000000355e+00,-5.590623917978800872e-01,2.725084505619804753e-01,1.934058067752288668e-01
1.000000000000000000e+01,-5.292088188465706722e-01,3.239795530546425439e-01,1.925123623712342025e-01
1.010000000000000142e+01,-4.943909648110680344e-01,3.717175445743033380e-01,1.912981795155839493e-01
1.020000000000000107e+01,-4.550043799475136375e-01,4.152849649467457716e-01,1.897452939411206074e-01
1.030000000000000071e+01,-4.114861004528790334e-01,4.542901701216813803e-01,1.878501847675515257e-01
1.040000000000000036e+01,-3.643098908016412785e-01,4.883907699142523984e-01,1.856236203366700144e-01
1.050000000000000000e+01,-3.139811680718254117e-01,5.172965420016779614e-01,1.830899431353208429e-01
1.060000000000000142e+01,-2.610316622690505572e-01,5.407717981456264811e-01,1.802858331882989384e-01
1.070000000000000107e+01,-2.060138681177621223e-01,5.586371847639521881e-01,1.772586090289183791e-01
1.080000000000000071e+01,-1.494953455853456625e-01,5.707709055122077713e-01,1.740641424654537639e-01
1.090000000000000036e+01,-9.205292737890830024e-02,5.771093594574727703e-01,1.707644771062205302e-01
1.100000000000000000e+01,-3.426689187607049464e-02,5.776471943362783135e-01,1.674252505017101988e-01
1.110000000000000142e+01,2.328484019477054801e-02,5.724367801853228466e-01,1.641130255459178067e-01
1.120000000000000107e+01,8.003242794336572208e-02,5.615871143344188798e-01,1.608926382544848266e-01
1.130000000000000071e+01,1.354196951887284839e-01,5.452621743205769977e-01,1.578246662949057133e-01
1.140000000000000036e+01,1.889095239345036925e-01,5.236787405813914109e-01,1.549631157850365482e-01
1.150000000000000000e+01,2.399890046957012801e-01,4.971037158539223788e-01,1.523534133453052775e-01
1.160000000000000142e+01,2.881742949065609904e-01,4.658509729349559203e-01,1.500307766146692923e-01
1.170000000000000107e+01,3.330151400137857931e-01,4.302777668243729647e-01,1.480190200508854081e-01
1.180000000000000071e+01,3.740990156284684232e-01,3.907807512901831370e-01,1.463298345365545150e-01
1.190000000000000036e+01,4.110548533581949715e-01,3.477916433884178371e-01,1.449625598400717807e-01
1.200000000000000000e+01,4.435563174753069382e-01,3.017725824416535030e-01,1.439044491428799200e-01
1.210000000000000142e+01,4.713246041759136529e-01,2.532112328291056813e-01,1.431314054662086166e-01
1.220000000000000107e+01,4.941307404589703745e-01,2.026156817324718806e-01,1.426091515752223315e-01
1.230000000000000071e+01,5.117973647401394821e-01,1.505091845529535621e-01,1.422947785948731891e-01
1.240000000000000036e+01,5.241999766097480418e-01,9.742481185153778478e-02,1.421386047209839687e-01
1.250000000000000000e+01,5.312676486221675765e-01,4.390005196207175803e-02,1.420862645173997796e-01
1.260000000000000142e+01,5.329831983884371072e-01,-9.528576593091146046e-03,1.420809417681292708e-01
1.270000000000000107e+01,5.293828246289800088e-01,-6.233084947432417783e-02,1.420656549041741379e-01
1.280000000000000071e+01,5.205552161396922450e-01,-1.139880453108018388e-01,1.419855037620095517e-01
1.290000000000000036e+01,5.066401477750251958e-01,-1.639979883100206870e-01,1.417897897536165019e-01
1.300000000000000000e+01,4.878265825084742713e-01,-2.118798761962069344e-01,1.414339282694086208e-01
1.310000000000000142e+01,4.643503033563674554e-01,-2.571788476191824713e-01,1.408810819449405893e-01
1.320000000000000107e+01,4.364911033841807897e-01,-2.994702462147754707e-01,1.401034558507389116e-01
1.330000000000000071e+01,4.045695661141373023e-01,-3.383635419540695355e-01,1.390832101747423444e-01
1.340000000000000036e+01,3.689434724991377257e-01,-3.735058741361949597e-01,1.378129619569825604e-01
1.350000000000000000e+01,3.300038737384256571e-01,-4.045851847261274226e-01,1.362958641911207192e-01
1.360000000000000142e+01,2.881708724502805019e-01,-4.313329147824843113e-01,1.345452675517548602e-01
1.370000000000000107e+01,2.438891570559675592e-01,-4.535262415923430046e-01,1.325839863711733568e-01
1.380000000000000071e+01,1.976233360399830830e-01,-4.709898388998008389e-01,1.304432056472162038e-01
1.390000000000000036e+01,1.498531206875181876e-01,-4.835971473606404669e-01,1.281610793575684581e-01
1.400000000000000000e+01,1.010684055895584160e-01,-4.912711475421174812e-01,1.257810815078822253e-01
1.410000000000000142e+01,5.176429684078188986e-02,-4.939846327142510818e-01,1.233501798926270598e-01
1.420000000000000107e+01,2.436137887061391033e-03,-4.917599836895426013e-01,1.209169081630719900e-01
1.430000000000000071e+01,-4.642541746804101921e-02,-4.846684529118128193e-01,1.185294143175060072e-01
1.440000000000000036e+01,-9.433923642716585123e-02,-4.728289697900506239e-01,1.162335631011906512e-01
1.450000000000000000e+01,-1.408383958117099266e-01,-4.564064839303433319e-01,1.140711661542373051e-01
1.460000000000000142e+01,-1.854746827918815066e-01,-4.356098673073166005e-01,1.120784072261235276e-01
1.470000000000000107e+01,-2.278228647739965473e-01,-4.106894006569526412e-01,1.102845207628988522e-01
1.480000000000000071e+01,-2.674846883545560772e-01,-3.819338731933755726e-01,1.087107709983137355e-01
1.490000000000000036e+01,-3.040925702569069466e-01,-3.496673283443134106e-01,1.073697658984508752e-01
1.500000000000000000e+01,-3.373129466578778657e-01,-3.142454913257006766e-01,1.062651264007756780e-01
1.510000000000000142e+01,-3.668492508906951444e-01,-2.760519173773152146e-01,1.053915169833781196e-01
1.520000000000000107e+01,-3.924444937684082868e-01,-2.354939015810466607e-01,1.047350291855029814e-01
1.530000000000000071e+01,-4.138834247522218401e-01,-1.929981933275665695e-01,1.042738959561664153e-01
1.540000000000000036e+01,-4.309942566166469202e-01,-1.490065600900984666e-01,1.039795020932101077e-01
