# re,im
-6.533378120559113489e-02,1.774011191578260593e+00
-6.533378120559113489e-02,-1.774011191578260593e+00
-1.550192687381182488e-01,1.171760670941117910e+00
-1.550192687381182488e-01,-1.171760670941117910e+00
-3.346487660594370528e-01,3.393397470887459244e-01
-3.346487660594370528e-01,-3.393397470887459244e-01
