# true_re,true_im,lgn_re,lgn_im,lgn_err,sym_re,sym_im,sym_err
-3.346461817804367023e-01,3.393398122188698296e-01,-3.346480754521402590e-01,3.393390410080400765e-01,2.044690359144812517e-06,-3.346487660594370528e-01,3.393397470887459244e-01,2.585099588931263831e-06
-3.346461817804367023e-01,-3.393398122188698296e-01,-3.346480754521402590e-01,-3.393390410080400765e-01,2.044690359144812517e-06,-3.346487660594370528e-01,-3.393397470887459244e-01,2.585099588931263831e-06
-1.550184960673736123e-01,1.171760547522337825e+00,-1.550187907076281402e-01,1.171760597078792543e+00,2.987787171008295685e-07,-1.550192687381182488e-01,1.171760670941117910e+00,7.824655103547450839e-07
-1.550184960673736123e-01,-1.171760547522337825e+00,-1.550187907076281402e-01,-1.171760597078792543e+00,2.987787171008295685e-07,-1.550192687381182488e-01,-1.171760670941117910e+00,7.824655103547450839e-07
-6.533532215218990080e-02,1.773996396991086799e+00,-6.533529767117829401e-02,1.773996425514086317e+00,3.758831508309667503e-08,-6.533378120559113489e-02,1.774011191578260593e+00,1.487462019895785245e-05
-6.533532215218990080e-02,-1.773996396991086799e+00,-6.533529767117829401e-02,-1.773996425514086317e+00,3.758831508309667503e-08,-6.533378120559113489e-02,-1.774011191578260593e+00,1.487462019895785245e-05
