# re,im
-6.533532215218990080e-02,1.773996396991086799e+00
-6.533532215218990080e-02,-1.773996396991086799e+00
-1.550184960673736123e-01,1.171760547522337825e+00
-1.550184960673736123e-01,-1.171760547522337825e+00
-3.346461817804367023e-01,3.393398122188698296e-01
-3.346461817804367023e-01,-3.393398122188698296e-01
