# true_re,true_im,lgn_re,lgn_im,lgn_err,sym_re,sym_im,sym_err
-2.499999999999999722e-01,1.221662036770960302e+00,-2.499999970060316490e-01,1.221662044150691573e+00,7.963936209297351817e-09,-2.500209887899810246e-01,1.221658647122033203e+00,2.126073904448543645e-05
-2.499999999999999722e-01,-1.221662036770960302e+00,-2.499999970060316490e-01,-1.221662044150691573e+00,7.963936209297351817e-09,-2.500209887899810246e-01,-1.221658647122033203e+00,2.126073904448543645e-05
-2.499999999999997502e-01,3.681878110355661371e-01,-2.499999596378766897e-01,3.681876799656574328e-01,1.371438002451874404e-07,-2.500142062556971467e-01,3.681844445828518220e-01,1.459968166836287669e-05
-2.499999999999997502e-01,-3.681878110355661371e-01,-2.499999596378766897e-01,-3.681876799656574328e-01,1.371438002451874404e-07,-2.500142062556971467e-01,-3.681844445828518220e-01,1.459968166836287669e-05
-2.499999999999996114e-01,1.784511026504869147e+00,-2.500001740418060225e-01,1.784510988401805331e+00,1.781639521647226472e-07,-2.500164419595015675e-01,1.784525750296355406e+00,2.207097795737234094e-05
-2.499999999999996114e-01,-1.784511026504869147e+00,-2.500001740418060225e-01,-1.784510988401805331e+00,1.781639521647226472e-07,-2.500164419595015675e-01,-1.784525750296355406e+00,2.207097795737234094e-05
