# re,im
-2.500001740418060225e-01,1.784510988401805331e+00
-2.500001740418060225e-01,-1.784510988401805331e+00
-2.499999596378766897e-01,3.681876799656574328e-01
-2.499999596378766897e-01,-3.681876799656574328e-01
-2.499999970060316490e-01,1.221662044150691573e+00
-2.499999970060316490e-01,-1.221662044150691573e+00
