t,q,p,E
0.000000000000000000e+00,1.000000000000000000e+00,-0.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000056e-01,9.950041652780258206e-01,-9.983341664682815475e-02,5.000000000000000000e-01
2.000000000000000111e-01,9.800665778412416262e-01,-1.986693307950612164e-01,5.000000000000000000e-01
3.000000000000000444e-01,9.553364891256059810e-01,-2.955202066613396017e-01,5.000000000000000000e-01
4.000000000000000222e-01,9.210609940028851028e-01,-3.894183423086505225e-01,5.000000000000000000e-01
5.000000000000000000e-01,8.775825618903727587e-01,-4.794255386042030054e-01,5.000000000000000000e-01
6.000000000000000888e-01,8.253356149096782168e-01,-5.646424733950354824e-01,5.000000000000000000e-01
7.000000000000000666e-01,7.648421872844883840e-01,-6.442176872376911279e-01,5.000000000000000000e-01
8.000000000000000444e-01,6.967067093471653871e-01,-7.173560908995227914e-01,5.000000000000000000e-01
9.000000000000000222e-01,6.216099682706643925e-01,-7.833269096274834142e-01,5.000000000000000000e-01
1.000000000000000000e+00,5.403023058681397650e-01,-8.414709848078965049e-01,5.000000000000000000e-01
1.100000000000000089e+00,4.535961214255773144e-01,-8.912073600614354163e-01,5.000000000000000000e-01
1.200000000000000178e+00,3.623577544766733993e-01,-9.320390859672263995e-01,5.000000000000000000e-01
1.300000000000000044e+00,2.674988286245873481e-01,-9.635581854171929583e-01,5.000000000000000000e-01
1.400000000000000133e+00,1.699671429002408141e-01,-9.854497299884602546e-01,5.000000000000001110e-01
1.500000000000000000e+00,7.073720166770290640e-02,-9.974949866040544455e-01,5.000000000000000000e-01
1.600000000000000089e+00,-2.919952230128881540e-02,-9.995736030415051099e-01,4.999999999999999445e-01
1.700000000000000178e+00,-1.288444942955248584e-01,-9.916648104524685703e-01,5.000000000000000000e-01
1.800000000000000044e+00,-2.272020946930871088e-01,-9.738476308781951474e-01,5.000000000000000000e-01
1.900000000000000133e+00,-3.232895668635035746e-01,-9.463000876874144707e-01,5.000000000000000000e-01
2.000000000000000000e+00,-4.161468365471424069e-01,-9.092974268256817094e-01,5.000000000000000000e-01
2.100000000000000089e+00,-5.048461045998575702e-01,-8.632093666488737105e-01,5.000000000000000000e-01
2.200000000000000178e+00,-5.885011172553458181e-01,-8.084964038195900926e-01,5.000000000000000000e-01
2.300000000000000266e+00,-6.662760212798244375e-01,-7.457052121767200337e-01,5.000000000000000000e-01
2.400000000000000355e+00,-7.373937155412457756e-01,-6.754631805511506215e-01,5.000000000000000000e-01
2.500000000000000000e+00,-8.011436155469336962e-01,-5.984721441039565493e-01,5.000000000000000000e-01
2.600000000000000089e+00,-8.568887533689473202e-01,-5.155013718214641605e-01,5.000000000000000000e-01
2.700000000000000178e+00,-9.040721420170612088e-01,-4.273798802338297786e-01,5.000000000000000000e-01
2.800000000000000266e+00,-9.422223406686582869e-01,-3.349881501559046626e-01,5.000000000000001110e-01
2.900000000000000355e+00,-9.709581651495906574e-01,-2.392493292139819816e-01,5.000000000000000000e-01
3.000000000000000000e+00,-9.899924966004454152e-01,-1.411200080598672135e-01,4.999999999999999445e-01
3.100000000000000089e+00,-9.991351502732794820e-01,-4.158066243329049116e-02,5.000000000000000000e-01
3.200000000000000178e+00,-9.982947757947531198e-01,5.837414342758008579e-02,5.000000000000000000e-01
3.300000000000000266e+00,-9.874797699088648795e-01,1.577456941432486548e-01,5.000000000000000000e-01
3.400000000000000355e+00,-9.667981925794608689e-01,2.555411020268316680e-01,5.000000000000000000e-01
3.500000000000000000e+00,-9.364566872907963413e-01,3.507832276896198365e-01,5.000000000000000000e-01
3.600000000000000089e+00,-8.967584163341469905e-01,4.425204432948524613e-01,5.000000000000000000e-01
