t,lie,linear,node
7.600000000000000533e+00,8.613429316782841849e-03,2.589296531669458071e-02,1.147427397120306253e-01
7.700000000000000178e+00,8.786187632968045155e-03,2.619946267637299556e-02,1.143189226274008430e-01
7.800000000000000711e+00,9.512167385914730919e-03,2.647688937111436838e-02,1.138320134656418542e-01
7.900000000000000355e+00,1.066020300236882913e-02,2.671586875573402423e-02,1.133153341447352552e-01
8.000000000000000000e+00,1.207538547096548287e-02,2.691135247271110240e-02,1.128058598852710870e-01
8.099999999999999645e+00,1.363062726074464048e-02,2.706318714420555965e-02,1.123488449236189068e-01
8.200000000000001066e+00,1.523553055688032891e-02,2.717612322981889303e-02,1.119991138576213879e-01
8.300000000000000711e+00,1.682882622963168678e-02,2.725926270250423125e-02,1.118167758667527600e-01
8.400000000000000355e+00,1.836956239961078791e-02,2.732498156250763241e-02,1.118572574418291860e-01
8.500000000000000000e+00,1.983067979465897787e-02,2.738741417802715780e-02,1.121581496711227532e-01
8.599999999999999645e+00,2.119479025477052220e-02,2.746065102355061197e-02,1.127272978459421676e-01
8.700000000000001066e+00,2.245141019881502498e-02,2.755686894803996423e-02,1.135367284772065694e-01
8.800000000000000711e+00,2.359508244225735213e-02,2.768466291323471232e-02,1.145250601925661416e-01
8.900000000000000355e+00,2.462404522145592717e-02,2.784785219285899199e-02,1.156078314301383081e-01
9.000000000000000000e+00,2.553925806768250414e-02,2.804497476801322275e-02,1.166923407766702198e-01
9.099999999999999645e+00,2.634367967657500961e-02,2.826956457052560295e-02,1.176924822563850948e-01
9.200000000000001066e+00,2.704173634399258119e-02,2.851116078833198023e-02,1.185399071318887637e-01
9.300000000000000711e+00,2.763893870548436715e-02,2.875686813348755574e-02,1.191898915787920760e-01
9.400000000000000355e+00,2.814161031535358445e-02,2.899320988230283391e-02,1.196224358693740719e-01
9.500000000000000000e+00,2.855669153342144800e-02,2.920799970634996995e-02,1.198405269224506742e-01
9.600000000000001421e+00,2.889158077282371478e-02,2.939199192618494397e-02,1.198677953200619345e-01
9.700000000000001066e+00,2.915397567791908062e-02,2.954012708459231862e-02,1.197470674801267843e-01
9.800000000000000711e+00,2.935168111239520872e-02,2.965225024298917197e-02,1.195399531049365499e-01
9.900000000000000355e+00,2.949235989594844315e-02,2.973323228667421742e-02,1.193261999997730222e-01
1.000000000000000000e+01,2.958321590106626625e-02,2.979247185970209516e-02,1.192006979892698548e-01
1.010000000000000142e+01,2.963061609723594350e-02,2.984280465242449693e-02,1.192661896898553342e-01
1.020000000000000107e+01,2.963967640211972662e-02,2.989890826403751589e-02,1.196211079358041468e-01
1.030000000000000071e+01,2.961385241627621442e-02,2.997536501190889088e-02,1.203441811118449861e-01
1.040000000000000036e+01,2.955458710981754417e-02,3.008462356925666742e-02,1.214796124714985215e-01
1.050000000000000000e+01,2.946107012782445134e-02,3.023515782546606218e-02,1.230275049175189456e-01
1.060000000000000142e+01,2.933015628390087809e-02,3.043012903064030647e-02,1.249429413104849035e-01
1.070000000000000107e+01,2.915647438983802464e-02,3.066679267814879928e-02,1.271441218614396962e-01
1.080000000000000071e+01,2.893273496900647043e-02,3.093676142683171593e-02,1.295267530921934418e-01
1.090000000000000036e+01,2.865022094492255048e-02,3.122707390419959816e-02,1.319801429565748974e-01
1.100000000000000000e+01,2.829942390001971564e-02,3.152187640950693953e-02,1.344008239226102130e-01
1.110000000000000142e+01,2.787077364166766838e-02,3.180443969333907051e-02,1.367014074805573409e-01
1.120000000000000107e+01,2.735540229620122415e-02,3.205921755490836328e-02,1.388146103752462557e-01
1.130000000000000071e+01,2.674588565366223247e-02,3.227369222969429796e-02,1.406940132216891459e-01
1.140000000000000036e+01,2.603691220208123949e-02,3.243981554064113287e-02,1.423136690708698970e-01
1.150000000000000000e+01,2.522584178972894775e-02,3.255491997643632229e-02,1.436682188321563580e-01
1.160000000000000142e+01,2.431312889607165073e-02,3.262202851156364297e-02,1.447740571508905061e-01
1.170000000000000107e+01,2.330259835129830717e-02,3.264953524377768590e-02,1.456708299256496142e-01
1.180000000000000071e+01,2.220157318269995808e-02,3.265027067674398931e-02,1.464216166746232228e-01
1.190000000000000036e+01,2.102086466671381285e-02,3.264001484419825488e-02,1.471099124507718459e-01
1.200000000000000000e+01,1.977464363327726196e-02,3.263558582588965001e-02,1.478321275123615774e-01
1.210000000000000142e+01,1.848021974044496488e-02,3.265270756458305695e-02,1.486856732650561619e-01
1.220000000000000107e+01,1.715776127741905355e-02,3.270393180651737924e-02,1.497544175656611298e-01
1.230000000000000071e+01,1.582999067621184211e-02,3.279692693619493810e-02,1.510947221352513525e-01
1.240000000000000036e+01,1.452188630260799890e-02,3.293342254269687047e-02,1.527257032573692830e-01
1.250000000000000000e+01,1.326040094090202327e-02,3.310900180529716130e-02,1.546263910011143883e-01
1.260000000000000142e+01,1.207415599240627656e-02,3.331378137061939693e-02,1.567403877932819767e-01
1.270000000000000107e+01,1.099296623987249498e-02,3.353385476480609528e-02,1.589863587676397516e-01
1.280000000000000071e+01,1.004688195472863352e-02,3.375324913211361771e-02,1.612712406754558403e-01
1.290000000000000036e+01,9.264261475757625333e-03,3.395608597460209738e-02,1.635029398178984295e-01
1.300000000000000000e+01,8.668438901932907364e-03,3.412864567148713585e-02,1.656002900570411329e-01
1.310000000000000142e+01,8.273223404822210164e-03,3.426108954073632529e-02,1.674995015952266686e-01
1.320000000000000107e+01,8.078817773553433404e-03,3.434866433793595797e-02,1.691575762223316015e-01
1.330000000000000071e+01,8.070662176705992868e-03,3.439228158027181348e-02,1.705537913578327736e-01
1.340000000000000036e+01,8.222533699585549832e-03,3.439842109719305763e-02,1.716902904176987876e-01
1.350000000000000000e+01,8.502435345921361895e-03,3.437835910000600070e-02,1.725922454725402899e-01
1.360000000000000142e+01,8.878250328949502043e-03,3.434677627562417179e-02,1.733073043748164510e-01
1.370000000000000107e+01,9.321137627738829839e-03,3.431986825285875120e-02,1.739034492023689982e-01
1.380000000000000071e+01,9.806537998250559190e-03,3.431316064756121526e-02,1.744642513102241110e-01
1.390000000000000036e+01,1.031370103264318307e-02,3.433930820301414610e-02,1.750809404106120903e-01
1.400000000000000000e+01,1.082469049257053957e-02,3.440620591156968999e-02,1.758416393832537561e-01
1.410000000000000142e+01,1.132347086888585257e-02,3.451572972226146091e-02,1.768192639588694604e-01
1.420000000000000107e+01,1.179533742928467327e-02,3.466333747077150751e-02,1.780604928704941636e-01
1.430000000000000071e+01,1.222673980682946818e-02,3.483861088388479771e-02,1.795784157676484361e-01
1.440000000000000036e+01,1.260544607916169041e-02,3.502664714259445117e-02,1.813507391832236693e-01
1.450000000000000000e+01,1.292095726318100851e-02,3.521006555865535681e-02,1.833239745058242720e-01
1.460000000000000142e+01,1.316507875635492507e-02,3.537131733643453929e-02,1.854224226579704038e-01
1.470000000000000107e+01,1.333256565428399612e-02,3.549498123414873696e-02,1.875596552124539906e-01
1.480000000000000071e+01,1.342177170708487403e-02,3.556977352791568930e-02,1.896499388954775711e-01
1.490000000000000036e+01,1.343523998297164665e-02,3.559006911034785781e-02,1.916175944511721296e-01
1.500000000000000000e+01,1.338017240168354327e-02,3.555679520003347804e-02,1.934032506420438058e-01
1.510000000000000142e+01,1.326870173713503957e-02,3.547761174365073739e-02,1.949669115503556427e-01
1.520000000000000107e+01,1.311786208679383524e-02,3.536633528018252176e-02,1.962883973909767821e-01
1.530000000000000071e+01,1.294911704690745492e-02,3.524160936389705151e-02,1.973659448170514696e-01
1.540000000000000036e+01,1.278727752136433506e-02,3.512488950404707433e-02,1.982136382674367092e-01
1.550000000000000000e+01,1.265866404169435806e-02,3.503790392400091269e-02,1.988580655914645445e-01
1.560000000000000142e+01,1.258849885275911858e-02,3.499986595372386183e-02,1.993343442837691992e-01
1.570000000000000107e+01,1.259778513707034142e-02,3.502482122830830047e-02,1.996815889486060203e-01
1.580000000000000071e+01,1.270027811703603078e-02,3.511956416488778987e-02,1.999380270802237070e-01
1.590000000000000036e+01,1.290036893924575122e-02,3.528250882078918377e-02,2.001362464390074591e-01
1.600000000000000000e+01,1.319255525426703442e-02,3.550373733333309773e-02,2.002993191515791693e-01
1.610000000000000142e+01,1.356264898702563837e-02,3.576621570329850675e-02,2.004386239162583572e-01
1.619999999999999929e+01,1.399026936602598865e-02,3.604794023847070900e-02,2.005539723022094212e-01
1.630000000000000071e+01,1.445185033322496544e-02,3.632463228890780299e-02,2.006361583322478492e-01
1.640000000000000213e+01,1.492346474140501984e-02,3.657256447895201878e-02,2.006714429477858275e-01
1.650000000000000000e+01,1.538306388416965827e-02,3.677115951564452478e-02,2.006469734018246909e-01
1.660000000000000142e+01,1.581202328966133108e-02,3.690510481280637883e-02,2.005559077241129418e-01
1.669999999999999929e+01,1.619605968750119709e-02,3.696582899758452806e-02,2.004011364007398099e-01
1.680000000000000071e+01,1.652564173375653186e-02,3.695226445612939670e-02,2.001969037164767207e-01
1.690000000000000213e+01,1.679600737248515205e-02,3.687086969404450298e-02,1.999681708803218994e-01
1.700000000000000000e+01,1.700686810343668420e-02,3.673491713691187655e-02,1.997480509353837530e-01
1.710000000000000142e+01,1.716185046522149954e-02,3.656308323654224729e-02,1.995739478589134419e-01
1.719999999999999929e+01,1.726770812858403198e-02,3.637742341792753881e-02,1.994831070047071164e-01
