real,imag
-5.001675956965978553e-02,1.801391057812444352e+00
-5.001675956965978553e-02,-1.801391057812444352e+00
-5.048294008595818200e-02,4.410184731115993628e-01
-5.048294008595818200e-02,-4.410184731115993628e-01
-4.996756411799940789e-02,1.246063560785416247e+00
-4.996756411799940789e-02,-1.246063560785416247e+00
