t,lie,linear,node
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,4.465787474149576081e-03,2.499432066187340113e-03,2.713491465889655580e-03
2.000000000000000111e-01,8.910016608374999453e-03,4.909856854430993608e-03,5.797328516415356688e-03
3.000000000000000444e-01,1.327838843778302545e-02,7.214006961451439534e-03,9.287591030813821535e-03
4.000000000000000222e-01,1.751510897829211197e-02,9.397041774954203314e-03,1.318141071672063874e-02
5.000000000000000000e-01,2.156520705475580349e-02,1.144854428913674033e-02,1.744480654173826903e-02
6.000000000000000888e-01,2.537694930337440827e-02,1.336455946668785831e-02,2.202201806191914774e-02
7.000000000000000666e-01,2.890424868215122831e-02,1.514943838072244087e-02,2.684344586835982205e-02
8.000000000000000444e-01,3.210896572459190357e-02,1.681718392195569525e-02,3.183084860301450131e-02
9.000000000000000222e-01,3.496300408655392961e-02,1.839192906454784754e-02,3.689989098039869742e-02
1.000000000000000000e+00,3.745010170629219093e-02,1.990715430122668231e-02,4.196113285526111708e-02
1.100000000000000089e+00,3.956721426907210126e-02,2.140332806560820908e-02,4.692088882676592743e-02
1.200000000000000178e+00,4.132537715475760598e-02,2.292389777027671952e-02,5.168310388855820031e-02
1.300000000000000044e+00,4.274991566245655433e-02,2.450998012005330476e-02,5.615273734479123841e-02
1.400000000000000133e+00,4.387985474359013677e-02,2.619458750669596478e-02,6.024045935245839895e-02
1.500000000000000000e+00,4.476636886788757513e-02,2.799754959406720173e-02,6.386799918947043408e-02
1.600000000000000089e+00,4.547013065814134447e-02,2.992222420604135832e-02,6.697333062274721249e-02
1.700000000000000178e+00,4.605749251693750518e-02,3.195461432035012067e-02,6.951497539498012468e-02
1.800000000000000044e+00,4.659559948616377040e-02,3.406485247384458126e-02,7.147491081964690851e-02
1.900000000000000133e+00,4.714679015664731410e-02,3.621049632119609230e-02,7.285976810294648998e-02
2.000000000000000000e+00,4.776294781845021736e-02,3.834087741816973038e-02,7.370016949743476986e-02
2.100000000000000089e+00,4.848069760426437086e-02,4.040182302005024956e-02,7.404821556482096834e-02
2.200000000000000178e+00,4.931835721741425344e-02,4.234027933846774144e-02,7.397335124268067386e-02
2.300000000000000266e+00,5.027525294679386497e-02,4.410856930497702305e-02,7.355711051595296979e-02
2.400000000000000355e+00,5.133347751129109515e-02,4.566815351631423048e-02,7.288749167090687042e-02
2.500000000000000000e+00,5.246160297957520868e-02,4.699282247276418550e-02,7.205384138739671929e-02
2.600000000000000089e+00,5.361949623477722110e-02,4.807124697729812934e-02,7.114304233447275860e-02
2.700000000000000178e+00,5.476331935430976683e-02,4.890877313258414766e-02,7.023748162184892396e-02
2.800000000000000266e+00,5.584997724306014349e-02,4.952828094029186612e-02,6.941476801740967262e-02
2.900000000000000355e+00,5.684056325399562681e-02,4.996984931761336984e-02,6.874856885800277595e-02
3.000000000000000000e+00,5.770262669464123334e-02,5.028890979379589676e-02,6.830941477049858046e-02
3.100000000000000089e+00,5.841128359801432690e-02,5.055257736451043010e-02,6.816408962403235072e-02
3.200000000000000178e+00,5.894930885072934695e-02,5.083399317774731779e-02,6.837252160490191188e-02
3.300000000000000266e+00,5.930640639546753967e-02,5.120487112050030321e-02,6.898205648820751601e-02
3.400000000000000355e+00,5.947788074266678604e-02,5.172700754795787892e-02,7.002044798282933136e-02
3.500000000000000000e+00,5.946294463960359600e-02,5.244412955197304271e-02,7.149020018185538172e-02
3.600000000000000089e+00,5.926290138133744750e-02,5.337579985386269044e-02,7.336716421851578740e-02
3.700000000000000178e+00,5.887943466514483637e-02,5.451485080650564363e-02,7.560505779827622619e-02
3.800000000000000266e+00,5.831321916154017654e-02,5.582895774422301505e-02,7.814531093380774895e-02
3.900000000000000355e+00,5.756302684375416701e-02,5.726585386316777188e-02,8.092949973467275515e-02
4.000000000000000000e+00,5.662544718746283928e-02,5.876086630314999310e-02,8.391061604752378389e-02
4.100000000000000533e+00,5.549526887144597131e-02,6.024522248417344544e-02,8.705982280627676262e-02
4.200000000000000178e+00,5.416649681905410380e-02,6.165386000397854449e-02,9.036685740437781778e-02
4.299999999999999822e+00,5.263391366061593440e-02,6.293197290349354656e-02,9.383434047543810774e-02
4.400000000000000355e+00,5.089504981157315366e-02,6.403997125678560776e-02,9.746831143903535166e-02
4.500000000000000000e+00,4.895240718160150106e-02,6.495679771853213325e-02,1.012686166926164560e-01
4.600000000000000533e+00,4.681578730447035624e-02,6.568163919615688240e-02,1.052226644306554354e-01
4.700000000000000178e+00,4.450459764086114878e-02,6.623405631291452711e-02,1.093044127390925269e-01
4.800000000000000711e+00,4.205003465217489744e-02,6.665249789611228659e-02,1.134779970866750809e-01
4.900000000000000355e+00,3.949704357488777878e-02,6.699113601569817167e-02,1.177033787484092903e-01
5.000000000000000000e+00,3.690588937415395510e-02,6.731500525847551597e-02,1.219408086133505487e-01
5.100000000000000533e+00,3.435297168701987452e-02,6.769360504528533495e-02,1.261519124601582775e-01
5.200000000000000178e+00,3.193008587265385584e-02,6.819343548046187531e-02,1.302971495333038465e-01
5.300000000000000711e+00,2.974063652255568360e-02,6.887032616306019983e-02,1.343312594385575043e-01
5.400000000000000355e+00,2.789063114758746562e-02,6.976273230637566880e-02,1.381992697154728889e-01
5.500000000000000000e+00,2.647266838000581629e-02,7.088721490737860675e-02,1.418353939463431468e-01
5.600000000000000533e+00,2.554429734945707839e-02,7.223697162397318960e-02,1.451659747757642061e-01
5.700000000000000178e+00,2.510810427861172311e-02,7.378361070952026146e-02,1.481161222218150830e-01
